Population,Children,Age,Income,Churn,Outage_sec_perweek,Email,Contacts,OnlineSecurity,StreamingTV,StreamingMovies,MonthlyCharge,Bandwidth_GB_Year,InternetService_DSL,InternetService_Fiber Optic
26,0,59,46489.09,0,10.26142,13,0,1,0,1,197.4876,5570.11497,0,1
8149,0,22,33543.36,0,11.08657399,8,0,0,0,0,144.960655,545.1832765,0,1
24,3,83,6377.91,1,6.152569,9,4,0,1,1,200.1323,1432.922873,1,0
15113,5,24,53611.13,0,10.63657,12,2,1,0,1,184.9647,6294.155657,0,1
12,6,32,31534.3,1,16.88379,11,1,1,1,1,222.6792,1040.201495,0,0
7232,10,78,33298.78,0,6.721308,11,1,1,0,1,129.9598,6360.531849,1,0
38424,5,79,13663.98,0,12.57414,12,2,1,1,0,152.466,5611.443086,0,1
8081,0,66,6096.89,0,7.744646,10,2,0,1,0,172.4404,6512.990012,1,0
702,1,56,83923.73,1,11.80835,12,1,1,1,0,119.9897,1516.686884,0,0
86,4,63,32997.15,0,7.338415,9,3,1,0,0,104.9923,619.4159878,0,0
1428,0,61,79189.23,1,6.792026415,13,1,0,1,1,255.119794,1882.523799,1,0
809,2,73,19534.42,0,7.519178592,16,1,1,0,1,184.978458,1234.044483,0,1
40820,0,81,2991.27,1,9.700795,13,0,0,1,1,245.147,1147.794876,1,0
9975,0,71,27376.4,0,9.480862,14,0,1,0,0,140.0049,5239.916322,0,1
23117,2,27,17038.61,1,12.52276,14,0,0,1,1,197.6288,2060.236225,0,0
12846,1,69,25891.09,0,6.564067,9,0,0,0,1,204.9797,1392.159775,0,1
32901,9,50,70043.78,0,2.104824,15,2,0,0,1,152.4742,6218.382624,1,0
0,1,55,21549.44,0,13.51296,11,2,0,0,0,112.4551,426.4255699,0,1
17879,4,68,22041.71,1,10.00097,14,3,1,0,1,149.9598,1150.114958,0,1
330,0,51,40225.9,0,9.984674,14,0,1,0,1,130.0064,5604.547333,0,0
11595,2,73,65905.54,1,12.21062,14,0,1,0,1,152.5022,859.2099751,0,0
488,0,41,18012.16,0,6.779737,10,1,0,1,0,172.4579,6319.032596,0,1
5303,6,70,83334.79,1,7.213508,12,0,0,1,0,197.4725,1558.694988,1,0
7750,0,84,44529.77,0,14.18316,13,3,0,1,0,162.4713,4171.400793,0,1
451,1,29,87107.32,0,8.49259,11,2,0,1,0,162.4713,5419.934519,0,1
7329,1,75,10825.44,0,10.87864,13,0,0,0,0,127.5067,609.1874835,0,0
615,1,75,23086.45,0,7.483489,13,0,0,0,1,114.9658,1355.025651,0,0
2080,0,18,91186.03,0,10.08605721,13,0,1,1,1,245.145743,2188.672399,0,1
115,0,54,47991.88,1,6.923717,17,2,1,0,1,184.961,1132.634807,1,0
7156,1,85,18513.69,0,8.783005,10,0,1,0,1,207.4974,1680.906796,0,1
12760,3,23,45647.43,0,8.773331,12,0,0,0,0,137.5165,3406.934201,0,0
166,1,34,47077.88,0,10.28962,12,1,1,1,1,257.6375,6284.948965,1,0
24325,1,24,50335.96,1,13.16758,14,1,1,1,1,215.1591,1771.091615,1,0
809,2,60,19746.8,0,6.549501,19,0,0,0,0,137.4872,451.0754045,0,1
2419,5,77,74732.97,1,7.48647,13,2,1,1,1,225.1457,6078.532596,1,0
0,1,75,30009.55,0,7.352787,14,0,0,1,0,182.4676,4592.61237,0,1
1307,1,33,7947.46,0,12.79332,16,2,0,0,0,104.9781,5521.423515,1,0
14693,1,78,160216.1,0,9.550874,15,1,1,0,1,162.4689,5251.722647,0,1
6257,0,41,10299.94,0,6.048302665,13,0,1,0,0,147.478341,261.1185652,0,1
232,3,34,34642.75,1,10.81203,13,0,1,1,1,212.6228,4730.05387,1,0
45298,2,84,9970.03,0,9.405326,8,1,1,0,0,149.9778,3913.652398,0,1
98,1,74,44526.16,0,11.69889,10,1,1,0,1,164.9785,2396.551383,1,0
5259,1,67,15629.94,0,10.25342,9,2,1,0,0,140.0013,1562.246266,1,0
32019,2,32,38806.49,0,7.708065,14,0,1,0,0,162.5007,4668.189279,0,1
870,3,62,38691.22,0,14.09089,12,1,0,0,1,152.4742,4869.487736,1,0
19283,4,53,49125.36,0,16.4764,13,2,0,1,0,184.9496,5218.124457,1,0
5082,1,81,25276.81,0,7.885528,4,0,0,0,1,159.9476,5848.038669,1,0
333,6,39,46288.04,0,5.375651,14,1,1,0,0,129.9915,5930.097335,1,0
28866,1,72,42700.87,0,15.71134,8,1,1,0,0,162.5299,5234.429593,0,0
4029,1,21,35775.82,1,12.08935,14,2,1,1,0,207.4811,1062.404345,0,1
22014,1,66,93024.74,0,14.68891,11,0,0,1,0,172.4404,6239.568854,1,0
12954,1,68,35741.44,0,7.626861,11,0,0,0,1,149.9845,5397.392962,0,0
25487,1,65,22711.6,0,15.11605,14,1,0,0,1,159.9512,5817.831567,0,1
5870,3,87,19461.01,0,9.696417,6,0,0,1,0,129.9621,5171.93181,1,0
958,1,52,10827.73,0,6.262775,13,0,1,1,0,144.9889,5308.935137,1,0
3620,2,80,44055.54,0,2.874643,16,1,0,1,1,230.1051,1152.27854,0,1
6393,8,42,28725.65,0,9.553584,6,0,1,1,1,277.6513,6705.630348,0,1
379,2,82,38069.49,0,15.77718,10,0,0,1,0,149.9483,325.5857485,0,1
8538,4,71,22183.52,1,15.26331077,15,2,0,0,1,149.984492,1488.81735,0,0
11499,8,24,14083.69,0,12.19579,15,1,0,1,0,184.967,6234.682273,0,1
9049,1,49,49781.85,0,10.58941533,13,1,0,0,0,112.484375,859.8649518,0,0
16943,0,60,47386.97,0,6.537862,11,1,1,1,0,164.9715,5218.998099,1,0
903,3,55,64821.36,1,10.32806,13,1,0,1,1,197.6288,889.1589238,0,0
16974,2,24,22041.68,1,5.919886,11,2,1,1,0,154.9618,1394.025763,1,0
34950,0,37,13383.49,0,6.157267,15,0,0,1,1,187.6422,1265.511252,0,0
1843,4,63,10192.04,0,8.601513,20,2,0,0,0,157.4836,2149.727449,0,1
3576,2,48,21248.31,0,8.372429,12,1,0,0,1,139.965,5884.305654,1,0
30807,1,49,52875.82,1,10.83227898,13,1,1,1,1,277.63748,1251.370845,0,1
2153,0,20,11079.6,0,10.24287,4,2,1,0,1,152.5022,6097.873428,0,0
34784,1,70,40030.35,0,12.43485,11,1,1,1,0,164.9715,6109.837555,1,0
338,3,21,8716.7,0,9.498593,12,3,0,1,1,220.1478,4917.704271,0,0
0,3,82,52312.84,1,3.075427,16,1,0,1,1,240.1149,1155.524102,0,1
1589,1,83,32783.94,0,10.11537,4,2,0,0,1,149.9845,877.990892,0,0
447,1,43,33465.9,0,11.64064,12,0,0,1,0,159.9642,6339.798083,0,0
1916,2,60,48525.16,1,8.096814588,14,1,0,1,1,212.641455,1404.974888,1,0
39641,1,68,94520.02,0,3.507354765,11,1,1,0,0,147.478341,708.0622854,0,1
211,2,63,30553.58,0,11.17093,10,1,0,0,1,202.4433,5817.135191,0,1
1042,10,82,29853.08,0,10.71615894,16,1,1,0,0,149.99153,600.0687482,0,1
5028,2,69,54874.47,0,10.07715,11,2,0,1,1,220.1615,4962.835767,0,0
9191,0,32,90780.38,0,10.04844,9,0,0,0,1,194.9663,4093.69412,1,0
51069,2,80,42659.99,0,8.461081572,10,0,0,0,0,134.950905,1329.158978,0,1
16715,1,64,45129.46,0,7.787097,10,0,0,0,1,169.9671,5319.532385,0,0
956,6,21,5853.02,0,11.25133,7,1,1,0,0,95.00571,645.1788133,0,0
0,3,56,66945.1,0,11.91191765,15,1,0,1,0,139.934918,1011.509096,1,0
25901,3,37,17878.4,0,12.14678,11,0,0,0,0,147.4738,930.0652299,0,1
39376,0,21,1193.66,1,7.364702,11,1,1,1,0,207.4811,2422.231415,0,1
612,0,42,46183.09,1,8.650145,10,0,0,1,1,252.6378,1362.782508,0,1
9238,3,39,8330.58,1,15.84283,12,3,0,1,1,287.6427,2425.973996,0,1
35102,7,50,162360.14,0,10.98788501,10,0,0,0,0,157.483594,1761.052193,0,1
30376,6,85,63887.79,0,13.09197,11,2,0,0,1,182.4433,5755.545082,1,0
65347,4,70,12621.78,0,2.911116,15,2,0,1,0,164.967,5871.888679,1,0
2275,1,37,25009.73,1,12.10369,13,1,1,0,1,162.4827,871.4588583,0,1
2983,3,61,68284.56,0,6.101071,10,0,0,0,0,157.4698,867.8924387,0,1
27479,3,20,69156.25,1,15.62909771,15,0,0,1,1,187.609354,1283.253595,1,0
728,5,85,65012.85,0,7.761601,16,2,0,1,0,149.9483,5209.217209,0,1
13128,1,55,48618.33,0,7.121114,15,0,0,0,1,182.4608,914.6362933,0,1
1307,1,57,55120.82,0,13.50565,14,1,0,0,1,172.4705,1803.766672,1,0
23980,0,62,17440.08,0,7.934951,13,0,1,1,1,222.6326,4985.725486,1,0
1343,3,81,5470.7,0,7.184819,15,0,0,1,1,210.138,5272.104771,0,0
64,8,37,19184.88,0,6.589354,7,1,0,0,0,147.4738,1180.747336,0,1
22,6,67,23180.99,0,7.540516,8,1,1,0,1,184.9785,5327.251383,0,1
384,0,54,2421.1,0,11.51282,12,0,0,0,0,167.4564,4821.711621,0,1
58160,1,19,6551.44,0,9.262983,13,2,0,1,0,172.4733,4231.43285,0,0
24743,1,73,10331.34,1,11.96519,13,1,1,0,0,139.9875,1039.187211,1,0
4179,1,89,68319.38,0,4.399685,15,2,0,0,0,134.9509,5695.706857,0,1
3068,9,75,54270.13,0,4.160642,16,1,1,0,0,95.01949,1424.90105,0,0
5111,2,80,38083.17,0,16.71428,7,1,1,1,1,177.6508,4140.577207,0,0
24438,4,55,16526.81,1,10.86355397,12,2,0,1,0,117.485813,541.4070913,0,0
3783,0,69,47635.23,0,12.58527236,10,1,1,0,0,142.500692,1402.374111,1,0
1029,1,43,6169.09,0,7.335113752,14,1,1,0,1,149.959755,1732.013844,0,1
2025,1,36,52493.72,0,7.678366,8,0,0,0,0,112.4551,5727.757032,0,1
1273,0,78,21918.44,0,8.818958,7,1,1,1,0,120.0035,1973.92172,0,0
14550,1,85,41066.46,0,9.467504,10,1,0,0,0,159.983,4968.105348,0,1
2388,0,38,92352.67,0,7.82306,20,2,1,1,0,187.4847,5502.689262,0,1
689,3,46,56868.44,1,9.149023,8,0,1,1,1,222.65,863.525358,0,1
41818,1,57,41550.85,1,10.53385,15,0,0,0,1,202.4433,1150.220789,0,1
12683,7,25,61257.0,0,10.85703,13,1,0,0,0,159.983,6386.654255,0,1
47710,1,80,13467.9,0,9.857833,8,1,0,1,0,137.4684,5954.517973,0,0
2926,3,38,47347.97,1,8.141997,16,3,0,1,1,252.6378,1186.544217,0,1
28,1,18,47106.04,0,12.54048,16,0,1,0,0,95.01949,794.1801028,0,0
