Population,Children,Age,Income,Churn,Outage_sec_perweek,Email,Contacts,OnlineSecurity,StreamingTV,StreamingMovies,MonthlyCharge,Bandwidth_GB_Year,InternetService_DSL,InternetService_Fiber Optic
322,4,31,113641.2,0,11.60655,7,1,0,0,1,182.4608,1114.196033,0,1
3854,10,81,62921.94,0,11.72362557,10,2,0,0,0,117.487242,1511.1388,1,0
2121,3,40,36582.97,0,7.39847,16,1,0,1,0,117.4858,1134.541267,0,0
2596,2,47,80667.11,0,8.78020639,12,1,0,0,0,160.01224,1331.25339,0,0
1130,2,20,20433.9,1,10.4009592,13,0,0,1,1,232.62403,1810.319743,1,0
4596,3,83,21299.93,0,11.71373,17,1,0,0,0,159.983,4609.33258,0,1
48008,3,76,42998.95,0,11.87557,9,1,0,0,0,144.9607,617.0043032,0,1
423,1,84,30433.22,1,7.860547,13,3,1,0,0,162.4833,1419.94259,1,0
1588,1,59,80149.29,0,12.49404,9,2,1,1,1,257.6549,5381.845958,0,1
7064,0,74,23302.39,0,10.02228,8,2,0,0,0,127.4738,837.2390946,1,0
5615,0,88,26999.2,0,9.573997,11,0,0,0,0,124.9781,4723.54426,0,1
6464,3,68,49252.56,1,13.31601627,9,1,0,1,0,192.440432,2072.694492,0,1
5659,2,24,17298.74,0,15.26212,9,1,0,0,1,182.4608,6321.378623,0,1
7496,0,23,68335.57,0,9.589426,9,1,0,0,0,134.9509,2320.785912,0,1
168,0,37,17952.0,0,11.22426,11,1,0,1,1,207.6094,6205.48799,0,1
712,0,71,83990.65,0,4.83372,14,1,1,0,0,117.5152,6015.340909,0,0
2128,0,73,79846.11,0,9.594627,9,0,0,1,1,240.1149,5487.492711,0,1
1397,6,22,100257.6,0,13.51521,16,1,0,0,1,147.4421,5434.193829,0,1
264,4,24,19121.4,0,11.06216,14,1,1,1,0,152.509,6557.092992,0,0
816,1,48,9202.1,0,7.979875858,18,1,1,1,0,164.971516,2029.905606,1,0
1439,8,30,6300.17,0,11.71773291,12,2,0,0,0,112.455141,1447.711265,0,1
28287,0,69,96753.8,1,11.13605,14,1,0,1,1,232.6415,1423.721197,0,1
33649,8,33,52143.7,0,11.17949466,14,1,0,1,1,220.132293,2153.778421,0,1
102,5,71,82960.42,0,9.885701354,5,0,1,0,0,95.005709,618.4967851,0,0
1796,4,20,146719.5,0,11.30121,16,0,0,1,1,255.1198,6511.608523,1,0
30609,1,57,114390.3,0,9.85717,18,1,1,1,1,257.6513,1984.206498,1,0
25134,1,77,49081.31,1,10.74555,16,2,1,1,1,277.6375,4674.111818,0,1
215,0,48,18982.37,0,14.06247,10,1,1,1,0,120.0035,1606.304191,0,0
19546,4,87,62656.2,0,9.916894,9,1,0,1,0,129.9621,861.7738077,1,0
2087,0,58,4660.45,0,7.757951,14,0,1,0,1,174.9919,3866.102336,0,1
1505,4,88,47792.78,1,9.011614,7,3,0,1,0,182.4538,537.4400071,0,1
15184,1,77,15876.36,0,8.39883,6,0,1,1,0,119.9568,816.0468833,1,0
28,5,85,24029.52,0,4.48479,12,0,1,1,0,219.9902,6491.869404,0,1
109,0,73,112181.6,0,10.63665,10,0,0,1,1,242.6435,6340.235212,0,0
20681,0,41,25560.03,0,9.696893,14,0,0,1,0,194.9768,1006.779634,0,1
4479,3,76,45249.35,0,4.20949,7,1,0,0,1,169.9378,5453.508337,0,1
1921,4,47,15898.57,0,5.102942,11,1,0,1,0,184.9634,5805.996684,1,0
10805,3,81,13662.88,0,12.01335,11,1,1,0,0,147.4783,4382.709253,0,1
506,0,41,19300.49,0,7.597397,10,2,0,0,0,159.9656,6333.859497,1,0
16760,2,36,51493.25,0,11.73921,10,1,0,1,1,187.6422,823.4333368,0,0
473,0,89,47370.85,1,6.964656883,10,0,0,1,1,207.638588,867.2394016,0,0
700,0,34,2131.46,0,11.36512,9,0,0,0,0,137.4836,6327.240839,1,0
1259,3,48,34372.27,1,7.871451091,13,2,0,0,1,169.967067,1681.813552,0,0
1128,1,59,82843.73,0,11.82742,12,0,1,1,0,107.4806,3997.551698,0,0
558,0,78,11667.32,1,12.32023424,8,2,0,1,0,204.963371,509.1865112,0,1
26235,8,23,26909.8,0,6.625411,15,2,0,0,1,172.4705,6089.889713,1,0
37067,4,53,67156.75,1,7.163319,14,1,1,0,1,149.9598,492.3321314,0,1
4465,1,53,70622.1,0,5.573652,16,1,0,1,0,149.9776,4815.434176,0,0
20167,6,80,10795.57,0,17.6619,7,0,0,0,1,149.9707,4577.776917,0,0
2097,0,32,169580.73,1,3.625998515,12,0,0,1,1,220.161527,1307.965782,0,0
2984,4,25,163156.7,0,14.63927,11,3,1,0,0,162.5299,4958.925244,0,0
1589,0,22,24014.24,0,7.675199,13,2,1,1,0,152.4798,5071.038201,0,1
948,7,85,99411.44,0,4.802614,10,1,0,0,0,159.9794,1482.48061,1,0
777,4,43,77380.28,1,10.7808,14,1,0,1,1,240.1149,1024.131285,0,1
2759,1,86,72032.69,0,14.75424,8,0,1,1,0,154.9618,5447.340664,1,0
1947,1,28,158549.3,0,11.11995,9,1,1,0,1,165.0113,5676.643658,0,0
3322,2,23,8936.02,1,5.771475,16,0,1,1,1,257.6549,1469.056257,0,1
801,2,89,27157.3,1,13.14802,20,1,1,0,1,184.9647,943.8571029,0,1
522,2,55,9005.1,0,12.03702,10,0,0,0,0,144.9607,5866.278162,0,1
2802,0,46,24939.72,0,9.231955,10,1,1,0,0,182.497,4899.723365,0,1
1104,1,46,75711.93,0,12.90571,11,1,1,0,0,127.5112,5938.865925,0,0
5429,4,71,40557.84,0,7.023333,13,0,0,0,0,92.45514,5449.342554,1,0
1840,4,21,32855.71,0,5.325493,14,2,0,1,1,187.6422,5829.765326,0,0
1547,3,45,9030.67,0,6.801813,14,1,0,0,0,114.9509,1025.488105,1,0
7278,1,34,76063.08,0,9.885262,14,1,0,1,0,117.4392,1623.908651,1,0
76811,0,55,79012.74,1,15.36673,13,0,0,1,1,232.6378,5649.459364,1,0
1458,0,27,13080.72,0,10.22828,12,0,0,1,0,149.9447,5841.516274,1,0
29223,1,79,11314.53,0,11.26526,10,1,0,0,1,194.9699,5852.331432,0,1
6123,2,88,111592.0,1,9.241887,14,1,1,1,1,202.6829,1153.214047,0,0
145,7,42,39087.76,0,8.361906963,14,0,0,1,1,212.641455,2129.856605,1,0
3521,0,58,18406.73,1,9.299310376,10,2,0,1,0,127.458638,850.5053759,0,0
1499,2,65,18088.6,1,6.659319,21,1,0,0,1,182.4433,1215.356987,1,0
30097,2,48,26005.47,0,7.680029,12,0,0,0,0,147.4601,5524.247776,0,1
15,1,62,4803.08,0,14.33897,17,0,0,1,0,164.967,1273.860067,1,0
128,3,40,122844.86,0,15.15312675,12,2,0,0,0,124.964303,951.5458256,0,1
